model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,empty
esm-t33-pretrained,0,0.6313,0.6107,0.5143,0.8182,0.849,0.7145,0.2,109,2024-09-27 02:02:31,0.0003,0.007,4.0,30.0,empty,
esm-t33-pretrained,0,0.5897,0.6152,0.4714,0.7857,0.8732,0.7052,0.2,110,2024-09-27 02:02:38,0.0003,0.007,4.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5858,0.5994,0.4857,0.7556,0.8526,0.6968,-2.0,111,2024-09-27 02:02:44,0.0003,0.007,4.0,31.0,empty,
esm-t33-pretrained,0,0.495,0.4764,0.2857,0.9091,0.7963,0.6382,0.0,112,2024-09-27 02:02:52,0.0003,0.007,4.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4454,0.6266,0.6714,0.3588,0.8869,0.6969,-5.0,113,2024-09-27 02:02:58,0.0003,0.007,4.0,32.0,empty,
esm-t33-pretrained,0,0.5444,0.6198,0.5143,0.6316,0.881,0.737,-3.4,114,2024-09-27 02:03:07,0.0003,0.007,6.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6149,0.6028,0.4714,0.8462,0.883,0.7147,0.8,115,2024-09-27 02:03:15,0.0003,0.007,6.0,30.0,empty,
esm-t33-pretrained,0,0.5482,0.5532,0.4571,0.7111,0.8585,0.7006,1.2,116,2024-09-27 02:03:24,0.0003,0.007,6.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6012,0.6063,0.4429,0.8611,0.897,0.7235,-2.8,117,2024-09-27 02:03:32,0.0003,0.007,6.0,31.0,empty,
esm-t33-pretrained,0,0.5365,0.5289,0.3429,0.8889,0.8599,0.6771,0.8,118,2024-09-27 02:03:41,0.0003,0.007,6.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5493,0.5586,0.3571,0.8929,0.8569,0.7216,1.2,119,2024-09-27 02:03:50,0.0003,0.007,6.0,32.0,empty,
esm-t33-pretrained,0,0.5221,0.5477,0.3143,0.9167,0.8167,0.7256,0.8,120,2024-09-27 02:04:03,0.0003,0.007,10.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5617,0.5751,0.3714,0.8966,0.8527,0.7017,-1.4,121,2024-09-27 02:04:15,0.0003,0.007,10.0,30.0,empty,
esm-t33-pretrained,0,0.5097,0.4977,0.4571,0.6275,0.766,0.7244,-5.0,122,2024-09-27 02:04:27,0.0003,0.007,10.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4847,0.5855,0.5286,0.5068,0.8775,0.734,-2.8,123,2024-09-27 02:04:39,0.0003,0.007,10.0,31.0,empty,
esm-t33-pretrained,0,0.4966,0.5197,0.3714,0.7222,0.8321,0.728,-0.8,124,2024-09-27 02:04:51,0.0003,0.007,10.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5445,0.5799,0.5,0.6481,0.8738,0.7163,-5.0,125,2024-09-27 02:05:03,0.0003,0.007,10.0,32.0,empty,
esm-t33-pretrained,0,0.574,0.586,0.3857,0.9,0.8734,0.7147,1.2,126,2024-09-27 02:05:10,0.0003,0.01,4.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5394,0.6225,0.5286,0.6066,0.893,0.7388,-4.0,127,2024-09-27 02:05:16,0.0003,0.01,4.0,30.0,empty,
esm-t33-pretrained,0,0.2185,0.3078,0.9,0.118,0.8118,0.7309,-3.0,128,2024-09-27 02:05:24,0.0003,0.01,4.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5563,0.5589,0.4,0.8235,0.8303,0.6826,0.0,129,2024-09-27 02:05:30,0.0003,0.01,4.0,31.0,empty,
esm-t33-pretrained,0,0.3875,0.3746,0.3143,0.55,0.7183,0.554,-0.4,130,2024-09-27 02:05:37,0.0003,0.01,4.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
